Model,MAE,RMSE,R-squared
Linear Regression,2.2713235657970912e-15,3.1147010588959293e-15,1.0
SVR,0.061347819281150635,0.08932583357159361,0.9919868165719449
GradientBoosting Regressor,0.06659067449588854,0.0940358487626176,0.9911194916580282
XGBoost,0.06848374977442957,0.10332091873174645,0.9892791937479407
KNeighbors,0.11603042157994291,0.1702547166834574,0.9708895289159553
AdaBoostRegressor,0.36346991575835713,0.4057145651452364,0.8346926639607637
MLP Regressor,0.018973271857731188,0.027736997816146372,0.9992273730840655
