Model,MAE,RMSE,R-squared
Linear Regression,3.682674244505289e-15,4.618824061290699e-15,1.0
SVR,0.05858804325725717,0.07872557226843609,0.9939038805652088
GradientBoosting Regressor,0.06435194928786456,0.09012598650154405,0.9920104581227676
XGBoost,0.06513418273939194,0.0966705852380716,0.9908079895348851
KNeighbors,0.11261418253702218,0.1643530622582095,0.9734308650158364
AdaBoostRegressor,0.35868605851189866,0.402106361366599,0.8409609759391796
MLP Regressor,0.01503013558951392,0.022907738869147896,0.9994838377222167
