Model,MAE,RMSE,R-squared
Linear Regression,5.64737966454336,7.921786958936455,0.7245287421422545
SVR,5.6202965190519905,8.241194265028296,0.7018668436970172
RandomForest Regressor,5.634341431162149,8.047224774752493,0.7157357537888049
GradientBoosting Regressor,5.538066663106111,7.899057343568219,0.7261072680632186
XGBoost,5.799500251645807,8.387486812247374,0.6911883503720738
KNeighbors,6.163840584613302,8.790999678657656,0.6607604308063696
AdaBoostRegressor,9.021894984528338,10.664652936597554,0.5007438447688181
MLP Regressor,5.651250347279703,8.016507938771063,0.7179017262103532
