Model,MAE,RMSE,R-squared
Linear Regression,5.99278435375627e-15,8.363572091915312e-15,1.0
SVR,0.06201818879360348,0.08939928974721592,0.9926050999000867
GradientBoosting Regressor,0.06523651172246353,0.09421028394877996,0.9917877757525753
XGBoost,0.06791850311882211,0.10318664871287266,0.9901482997407325
KNeighbors,0.12092164521759019,0.1778747189790922,0.9707252881952431
AdaBoostRegressor,0.35938520049285144,0.4018457259538888,0.8505888936965373
MLP Regressor,0.015693823248307634,0.02375407240251062,0.9994779160693394
