Model,MAE,RMSE,R-squared
Linear Regression,3.835561587548703e-15,5.092040137012161e-15,1.0
SVR,0.06306192371214053,0.09397234878673454,0.9909750454495391
GradientBoosting Regressor,0.06804648217978755,0.09636842710619979,0.9905089469504526
XGBoost,0.0708226453649674,0.10760410640050722,0.9881667905932805
KNeighbors,0.12351019415379579,0.17980916457586194,0.9669578342014676
AdaBoostRegressor,0.35762192433132917,0.4016395800419734,0.8351390233893732
MLP Regressor,0.019358656258867624,0.028581674380193406,0.9991651274270527
